Tweets,Category
Thank you for sending us your CRNs and showing us your interest for #OlaSelect yesterday. We'll get in touch with our winners shortly :),1
"@AverageIntel @PokemonGoApp 
Worry not, auto-connect ""lure mode"" in all Olacabs is on its way.",0
#KabaliDay https://t.co/jdQFl284qW,0
@suchetadalal We're in! Do let us know how we can help.,1
@suchetadalal @MoneylifeF Done.,0
"#FridayFeeling kicking in?
If you need a car for your weekend exploits, book #OlaRentals
 https://t.co/cbzF2ZEHmp https://t.co/XZn6rDkWyV",0
"@sowmyarao_ Well traffic is annoying! But ride-sharing would help to reduce the cars on road, &amp; less cars = less traffic #OlaShare",1
Check your mailbox to find out your eco-friendly quotient. #OlaShare https://t.co/WH1JyhkqIW,0
"Stuck cos of the #BMTCStrike? Let us know, we might be able to help you #Bangalore",1
There's enough for everyone! Catch 'em all on your app. https://t.co/ZgqLW9YvwV,0
"@RjVashishth Hey, when you get an 'Auto Upgrade' - you pay for the ride you have chosen. You just enjoy the ride :)",1
"@RjVashishth There are no extra payments. But if you feel that you've been charged wrongly, please share the particular invoice with us.",1
@raghavnagarajan Happy to hear we could help. #StaySafe,1
That's a chat we'd love to have eavesdropped into! #Kabali https://t.co/YGpr8rscOf,1
@Karmatraveler We'd be happy to help anyone affected by the strike. Let us know.,1
"#ICYMI HOW TO RIDE OLA SHARE LIKE A BOSS! #OlaShare 
p.s.: Also, it's 50% less than regular cab fares! #FTW
https://t.co/QY78tzA9BP",1
@shashankib There's ride-sharing!! It keeps more cars off the road. #OlaShare,0
#Mumbai Win an all-expense-paid trip to Dubai!! Interested? Find out more: https://t.co/RvKpZiiPix https://t.co/bexvINTT24,1
"@AmazeNiki Hey Nikita, we have DMed you a little something to help with your travel back home. #BMTCStrike",1
@bkapilan This is why we'd like to encourage more people to share their daily rides with others headed in the same direction #OlaShare,1
@bkapilan We do care. Can you tell us what happened? We will sort it out for you @ola_supports,1
@adityampaul Don't mess with Pog- stay connected always! #OlaPrime #AutoConnect,1
@ADiLAHamza Sounds like the purrfect ride!,1
"@unencryptd_tale ah, we wish.",1
"@tilaksarda Hey, write to us at alliances@olacabs.com and we'll connect you to the right people.",0
Want a luxury ride at your disposal through the weekend??? Follow and RT to get the contest started!! #RentALux,1
"???? Contest starts in 10 minutes!! As always, follow us and RT the contest tweet to participate in the contest. #RentALux ????",0
Tag your friend and convince us why he/she should have a ride of luxury over the weekend? #RentALux?? https://t.co/V0h8j6WGqy,1
"We'll gift a rented Ola Lux over the weekend on your behalf to your friend, to the most convincing tweet #RentALux??",1
@aayushaeran @Larissa_wlc Larissa- congrats on that! #RentALux,1
@pk037  Does @thetanmay reciprocate your feelings of friendship? #RentALux,1
Friend needs some swag? Get him an #OlaLux ride for the whole weekend. Tell us why he deserves it #RentALux ??,1
"@Abhishek1106 Sorry buddy, you have to tag a friend. #RentALux??",1
@Abhishek1106 Then you should quickly convince a friend to participate and win it for you :) #RentALux??,1
@HUSSAIN96819991 All birthdays must be celebrated! @HamzaMilky  Happy belated birthday buddy! #RentALux,1
"@KarriLuvi Oops, looks like you forgot to tag your friend. #RentALux??",1
@comeonshiv That's so wonderful.  Congrats to her :) But it looks like you forgot to tag her to your tweet! #RentALux??,1
"@tazzpatil Wow, that's deep, Tejas! Tag her to the tweet to get a chance to gift her that luxury over the weekend.",1
**Contest Alert** Luxury rides for the entire weekend to be won @ContestBoard @C0NTESTINDIA @Contest_Hub @thefreejinn #RentALux??,1
"Happiest Birthday to Mikesh! 
@TheViralFever 
You guys should #RentALux for @vyas_sumeet! https://t.co/BSRIwCx8Ni",1
@panku_ @dhirajwrites You've been tagged! Keep your fingers crossed! #RentALux,0
@cool_kams Awesome. Congrats @agarwalsurya!!,1
@dhiran116 That's so sweet of you! And congratz @chiragcj14 on becoming a certified digital marketer :) #RentALux??,1
"@ShalNauti We'll he does deserve some much needed pampering, good luck! And don't forget to tag your hubby's Twitter handle in your response",1
This could be your ride this weekend. For two full days! Get a friend to convince us you need it. #RentALux https://t.co/szOrJs6ueb,1
@indeverkarsija @bhatia_shresth That would indeed be awesome. Good luck! ???? #RentALux??,1
"@Harshaccha @bhatia_shresth A really lucky guy, there's a lot happening in his life ???? #RentALux??",1
@sanjeev2572 @Amardeep9S Of course! #AutoConnect Wifi #FTW #RentALux,0
@HoeZaay #RentALux maybe?,0
"The contest has been extended till tomorrow! Keep the replies coming in, folks and make your friend's weekend truly memorable! #RentALux??",1
"@AmazeNiki Hi Nikita, we'll not be able to extend the given coupon. However we've sent you a small gift on DM.",1
"And for those who just can't wait till then! You can rent an #OlaLux, from your Ola App, right away! #RentALux??",0
The WiFi in @OlaCabs is a blessing in Traffic Jams. Productive time even when stuck. Keep up the Innovations! #StartUpIndia,1
#ReasonsToRidePrime So you can try every single Prisma filter to pick out the best one for your DP. #AutoConnectWifi https://t.co/Dgdtd74Ur6,1
"@randomthakkar @buzzindelhi #AutoconnectWifi allows riders to connect to wifi in any Ola cab, just by entering their mobile no as password.",0
@randomthakkar @buzzindelhi And it's a one-time sign in- you will be automatically connected to the internet in all your subsequent rides.,0
@buzzindelhi Thank you these words of encouragement for #AutoConnectWifi - our engineers are beaming with pride! #OlaPrime,1
@iampravo Okay. Lure mode coming soon. https://t.co/c27tUuiVUQ,1
"@ROYALIRFAN That'll certainly be a wonderful gift! Don't forget to tag your wife to the response, Irfan.",1
"Show your love for that special person by participating in #RentALux and tagging them in your response. Hurry, the contest closes today!",1
@rachit_g2 Sounds like a good plan @shraddhagoel11!!! ??????   #RentALux??,1
@buzzindelhi Thank you ^for^ these words.,1
"The #RentALux  contest closes in an hour. Follow, RT and participate for a chance to gift your friend a luxury weekend with #OlaLux",1
@sreeragnk Ride-sharing is the answer! It effectively reduces the number of cars on road = less traffic. #OlaShare,1
"@TrollKejri Yes, How can we help?",1
"@TrollKejri Looks like his trip has just ended. You're on your own, buddy! 
*Cab chahiye kya?* https://t.co/770Teny4JL",1
"It was a fun contest guys! So many convincing reasons to gift an #OlaLux 
Winners to be announced shortly, stay tuned! #RentALux",1
"Congrats @ClassicallyWild, thanks to @akriti_seth you have got yourself a luxury ride for the weekend #RentALux?? https://t.co/3FzhYL22Lh",1
"@anddev46 True that, buddy! You can #RentALux to make that special day for your loved one even more awesome!",1
@MeinEkAjubaHu nice try.,1
Ride an #OlaPrime to @SteppingOutBlr's Movie Night &amp; get exclusive access to the Prime Lounge! #DilPhirSeChahtaHai https://t.co/K0rKdjFbjL,1
A big thank you to @Olacabs #RentALux &amp; @akriti_seth for today's pleasurable experience. More pictures tomorrow. https://t.co/8weZ16puhv,1
"True that, Sneha! Glad to see that you made a lot of great memories, this weekend with #RentALux! https://t.co/cFc0Be6laX",1
https://t.co/3wzJ6eksw8,0
".@Flipkart, Hey, were taking your #KillerNote5 out for a drive to give our folks a glimpse of it. We'll call it #TheatreMaxOnOla",0
@Flipkart Perfect. Sounds like our users are about to enter the world of Virtual Reality with #KillerNote5  #TheatreMaxOnOla,1
Experience TheatreMax on #KillerNote5onFlipkart at your doorstep with us. Watch this space for more #TheatreMaxOnOla https://t.co/mQjWbgYqGP,0
"Starting today, #Delhi, #Mumbai and #Bangalore will compete for cleaner air by riding Ola Share. #DoYourShare https://t.co/hicwUhI1EQ",1
"@LeeHadkar Coming soon, Leena!",0
"#Delhi, are you listening? #DoYourShare for your city!  https://t.co/Lj9aD4rXrA",0
